Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
606,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37.0,1988,3.0,,0,,,,,,,,,,3,,,,Matches
607,Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27.0,1998,10.5,,10,,,,,,,,,,6,,,,Matches
608,Koni De Winter,be BEL,DF,Milan,it Serie A,23.0,2002,11.2,,9,,,,,,,,,,3,,,,Matches
609,Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,30.0,1995,10.6,,17,,,,,,,,,,12,,,,Matches
610,Romain Del Castillo,fr FRA,"MF,FW",Brest,fr Ligue 1,29.0,1996,18.1,,28,,,,,,,,,,16,,,,Matches
611,Enrico Del Prato,it ITA,DF,Parma,it Serie A,26.0,1999,22.6,,15,,,,,,,,,,21,,,,Matches
612,Thomas Delaine,fr FRA,"MF,DF",Le Havre,fr Ligue 1,33.0,1992,2.2,,0,,,,,,,,,,3,,,,Matches
613,Liam Delap,eng ENG,FW,Chelsea,eng Premier League,23.0,2003,8.0,,1,,,,,,,,,,0,,,,Matches
614,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,25.0,2001,5.0,,6,,,,,,,,,,2,,,,Matches
615,Olivier Deman,be BEL,MF,Werder Bremen,de Bundesliga,25.0,2000,2.9,,9,,,,,,,,,,1,,,,Matches
616,Pape Demba Diop,sn SEN,MF,Toulouse,fr Ligue 1,22.0,2003,4.8,,6,,,,,,,,,,10,,,,Matches
617,Ali Dembélé,fr FRA,DF,Torino,it Serie A,22.0,2004,0.2,,0,,,,,,,,,,0,,,,Matches
618,Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,28.0,1997,7.6,,2,,,,,,,,,,0,,,,Matches
619,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,28.0,1998,14.3,,14,,,,,,,,,,12,,,,Matches
620,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27.0,1998,9.1,,5,,,,,,,,,,1,,,,Matches
621,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21.0,2004,6.6,,5,,,,,,,,,,3,,,,Matches
622,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,24.0,2001,20.6,,5,,,,,,,,,,16,,,,Matches
623,Branco van den Boomen,nl NED,MF,Angers,fr Ligue 1,30.0,1995,3.0,,3,,,,,,,,,,1,,,,Matches
624,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30.0,1995,14.6,,25,,,,,,,,,,11,,,,Matches
625,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,22.0,2004,1.4,,2,,,,,,,,,,1,,,,Matches
626,Nelson Deossa,co COL,MF,Real Betis,es La Liga,26.0,2000,5.8,,5,,,,,,,,,,3,,,,Matches
627,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29.0,1996,4.0,,0,,,,,,,,,,0,,,,Matches
628,Bahmed Deuff,mr MTN,MF,Nantes,fr Ligue 1,19.0,2006,2.6,,2,,,,,,,,,,2,,,,Matches
629,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,eng Premier League,22.0,2003,6.7,,8,,,,,,,,,,0,,,,Matches
630,Tidiane Devernois,fr FRA,MF,Auxerre,fr Ligue 1,18.0,2007,0.1,,0,,,,,,,,,,0,,,,Matches
631,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27.0,1998,17.3,,13,,,,,,,,,,10,,,,Matches
632,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28.0,1997,22.0,,0,,,,,,,,,,0,,,,Matches
633,Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,it Serie A,32.0,1993,22.3,,26,,,,,,,,,,9,,,,Matches
634,Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,it Serie A,26.0,1999,0.6,,1,,,,,,,,,,0,,,,Matches
635,Boulaye Dia,sn SEN,"FW,MF",Lazio,it Serie A,29.0,1996,9.6,,7,,,,,,,,,,1,,,,Matches
636,Bambo Diaby,sn SEN,DF,Elche,es La Liga,28.0,1997,1.1,,0,,,,,,,,,,1,,,,Matches
637,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,29.0,1996,6.0,,6,,,,,,,,,,9,,,,Matches
638,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,25.0,2001,14.2,,15,,,,,,,,,,10,,,,Matches
639,Amad Diallo,ci CIV,MF,Manchester Utd,eng Premier League,23.0,2002,18.3,,17,,,,,,,,,,10,,,,Matches
640,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30.0,1995,14.2,,3,,,,,,,,,,2,,,,Matches
641,Zoumana Diallo,fr FRA,FW,Nice,fr Ligue 1,21.0,2005,0.1,,0,,,,,,,,,,0,,,,Matches
642,Grady Diangana,cd COD,"MF,FW",Elche,es La Liga,27.0,1998,6.7,,3,,,,,,,,,,4,,,,Matches
643,Assane Diao,sn SEN,MF,Como,it Serie A,20.0,2005,3.5,,0,,,,,,,,,,1,,,,Matches
644,Soriba Diaoune,fr FRA,MF,Lille,fr Ligue 1,18.0,2007,1.8,,2,,,,,,,,,,1,,,,Matches
645,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,22.0,2004,7.5,,1,,,,,,,,,,3,,,,Matches
646,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,25.0,2000,2.4,,2,,,,,,,,,,1,,,,Matches
647,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28.0,1997,20.3,,5,,,,,,,,,,20,,,,Matches
648,Krépin Diatta,sn SEN,"MF,DF",Monaco,fr Ligue 1,26.0,1999,9.1,,15,,,,,,,,,,14,,,,Matches
649,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32.0,1993,17.5,,0,,,,,,,,,,2,,,,Matches
650,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,es La Liga,26.0,1999,4.9,,4,,,,,,,,,,1,,,,Matches
651,Daniel Díaz,es ESP,FW,Real Sociedad,es La Liga,19.0,2006,0.2,,0,,,,,,,,,,0,,,,Matches
652,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22.0,2003,9.4,,8,,,,,,,,,,11,,,,Matches
653,Luis Díaz,co COL,MF,Bayern Munich,de Bundesliga,29.0,1997,19.4,,10,,,,,,,,,,11,,,,Matches
654,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27.0,1998,12.7,,15,,,,,,,,,,3,,,,Matches
655,Tyler Dibling,eng ENG,MF,Everton,eng Premier League,19.0,2006,4.0,,3,,,,,,,,,,6,,,,Matches
656,Nouha Dicko,ml MLI,"FW,MF",Paris FC,fr Ligue 1,33.0,1992,0.8,,0,,,,,,,,,,0,,,,Matches
657,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,25.0,2000,4.9,,1,,,,,,,,,,0,,,,Matches
658,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,32.0,1994,7.5,,2,,,,,,,,,,10,,,,Matches
659,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32.0,1993,14.6,,18,,,,,,,,,,9,,,,Matches
660,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29.0,1996,17.8,,23,,,,,,,,,,15,,,,Matches
661,Federico Dimarco,it ITA,MF,Inter,it Serie A,28.0,1997,20.1,,25,,,,,,,,,,17,,,,Matches
662,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,32.0,1993,6.0,,0,,,,,,,,,,0,,,,Matches
663,Junior Dina Ebimbe,cm CMR,"MF,FW",Brest,fr Ligue 1,25.0,2000,5.3,,7,,,,,,,,,,2,,,,Matches
664,Eren Dinkçi,de GER,"MF,FW",Heidenheim,de Bundesliga,24.0,2001,2.9,,1,,,,,,,,,,1,,,,Matches
665,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,24.0,2001,2.8,,4,,,,,,,,,,4,,,,Matches
666,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24.0,2001,11.7,,8,,,,,,,,,,20,,,,Matches
667,Yan Diomandé,ci CIV,"FW,MF",RB Leipzig,de Bundesliga,19.0,2006,16.1,,12,,,,,,,,,,12,,,,Matches
668,Issa Diop,fr FRA,DF,Fulham,eng Premier League,29.0,1997,4.6,,1,,,,,,,,,,2,,,,Matches
669,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20.0,2005,0.1,,0,,,,,,,,,,0,,,,Matches
670,Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,25.0,2000,15.6,,4,,,,,,,,,,12,,,,Matches
671,Andy Diouf,fr FRA,MF,Inter,it Serie A,22.0,2003,2.1,,3,,,,,,,,,,1,,,,Matches
672,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22.0,2003,1.0,,0,,,,,,,,,,0,,,,Matches
673,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham United,eng Premier League,21.0,2004,18.3,,11,,,,,,,,,,19,,,,Matches
674,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26.0,1999,16.0,,0,,,,,,,,,,0,,,,Matches
675,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28.0,1997,2.4,,1,,,,,,,,,,6,,,,Matches
676,Axel Disasi,fr FRA,DF,West Ham United,eng Premier League,27.0,1998,2.0,,0,,,,,,,,,,2,,,,Matches
677,Matías Dituro,ar ARG,GK,Elche,es La Liga,38.0,1987,8.0,,0,,,,,,,,,,0,,,,Matches
678,Djené,tg TOG,"DF,MF",Getafe,es La Liga,34.0,1991,19.5,,18,,,,,,,,,,19,,,,Matches
679,Harouna Djibrin,cm CMR,MF,Angers,fr Ligue 1,19.0,2006,2.9,,3,,,,,,,,,,5,,,,Matches
680,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32.0,1993,19.3,,18,,,,,,,,,,20,,,,Matches
681,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,34.0,1992,24.0,,2,,,,,,,,,,0,,,,Matches
682,Ritsu Doan,jp JPN,MF,Eintracht Frankfurt,de Bundesliga,27.0,1998,20.1,,18,,,,,,,,,,15,,,,Matches
683,Dodô,br BRA,"MF,DF",Fiorentina,it Serie A,27.0,1998,24.0,,13,,,,,,,,,,20,,,,Matches
684,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27.0,1998,22.0,,24,,,,,,,,,,29,,,,Matches
685,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,34.0,1992,7.1,,7,,,,,,,,,,6,,,,Matches
686,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23.0,2002,19.1,,19,,,,,,,,,,22,,,,Matches
687,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23.0,2002,13.2,,10,,,,,,,,,,9,,,,Matches
688,Tyrhys Dolan,eng ENG,MF,Espanyol,es La Liga,24.0,2001,16.8,,26,,,,,,,,,,8,,,,Matches
689,Marc Domenech,es ESP,MF,Mallorca,es La Liga,20.0,2006,2.4,,2,,,,,,,,,,0,,,,Matches
690,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,22.0,2003,4.9,,2,,,,,,,,,,2,,,,Matches
691,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,25.0,2001,4.8,,8,,,,,,,,,,3,,,,Matches
692,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,eng Premier League,27.0,1998,9.0,,16,,,,,,,,,,3,,,,Matches
693,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30.0,1995,11.1,,4,,,,,,,,,,0,,,,Matches
694,John Donald,es ESP,"DF,MF",Elche,es La Liga,25.0,2000,5.1,,8,,,,,,,,,,5,,,,Matches
695,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26.0,1999,23.0,,0,,,,,,,,,,1,,,,Matches
696,Romelle Donovan,eng ENG,FW,Brentford,eng Premier League,19.0,2006,0.1,,0,,,,,,,,,,0,,,,Matches
697,Patrick Dorgu,dk DEN,MF,Manchester Utd,eng Premier League,21.0,2004,14.8,,30,,,,,,,,,,14,,,,Matches
698,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,28.0,1998,15.9,,22,,,,,,,,,,12,,,,Matches
699,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,27.0,1998,1.0,,1,,,,,,,,,,1,,,,Matches
700,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23.0,2002,1.3,,0,,,,,,,,,,0,,,,Matches
701,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,25.0,2001,8.4,,18,,,,,,,,,,5,,,,Matches
702,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20.0,2005,0.5,,0,,,,,,,,,,3,,,,Matches
703,Désiré Doué,fr FRA,"FW,MF",Paris Saint-Germain,fr Ligue 1,20.0,2005,7.8,,12,,,,,,,,,,4,,,,Matches
704,Guela Doué,ci CIV,"DF,MF",Strasbourg,fr Ligue 1,23.0,2002,14.9,,25,,,,,,,,,,14,,,,Matches
705,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22.0,2003,14.5,,8,,,,,,,,,,17,,,,Matches
706,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22.0,2003,13.3,,22,,,,,,,,,,9,,,,Matches
707,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26.0,1999,14.7,,7,,,,,,,,,,3,,,,Matches
708,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28.0,1997,4.3,,3,,,,,,,,,,0,,,,Matches
709,Max Dowman,eng ENG,MF,Arsenal,eng Premier League,16.0,2009,0.3,,2,,,,,,,,,,0,,,,Matches
710,Damion Downs,us USA,FW,Hamburger SV,de Bundesliga,21.0,2004,3.0,,1,,,,,,,,,,0,,,,Matches
711,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,eng Premier League,24.0,2002,2.7,,2,,,,,,,,,,5,,,,Matches
712,Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,eng Premier League,16.0,2009,0.1,,1,,,,,,,,,,0,,,,Matches
713,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30.0,1995,20.0,,9,,,,,,,,,,21,,,,Matches
714,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,37.0,1989,26.0,,1,,,,,,,,,,0,,,,Matches
715,Denzel Dumfries,nl NED,MF,Inter,it Serie A,29.0,1996,8.0,,5,,,,,,,,,,4,,,,Matches
716,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,34.0,1991,24.5,,17,,,,,,,,,,26,,,,Matches
717,Maxime Dupé,fr FRA,GK,Nice,fr Ligue 1,32.0,1993,6.0,,0,,,,,,,,,,0,,,,Matches
718,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,24.0,2001,10.2,,8,,,,,,,,,,3,,,,Matches
719,Hugo Duro,es ESP,FW,Valencia,es La Liga,26.0,1999,15.8,,6,,,,,,,,,,3,,,,Matches
720,Rafiu Durosinmi,ng NGA,FW,Pisa,it Serie A,23.0,2003,1.8,,0,,,,,,,,,,1,,,,Matches
721,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,32.0,1993,11.7,,5,,,,,,,,,,3,,,,Matches
722,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39.0,1986,2.7,,1,,,,,,,,,,1,,,,Matches
723,Adam Dźwigała,pl POL,DF,St Pauli,de Bundesliga,30.0,1995,11.0,,24,,,,,,,,,,18,,,,Matches
724,Aron Dønnum,no NOR,"MF,FW",Toulouse,fr Ligue 1,27.0,1998,18.7,,23,,,,,,,,,,22,,,,Matches
725,George Earthy,eng ENG,MF,West Ham United,eng Premier League,21.0,2004,0.1,,0,,,,,,,,,,0,,,,Matches
726,Younes Ebnoutalib,de GER,FW,Eintracht Frankfurt,de Bundesliga,22.0,2003,1.2,,0,,,,,,,,,,1,,,,Matches
727,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21.0,2004,11.4,,18,,,,,,,,,,11,,,,Matches
728,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26.0,1999,2.4,,1,,,,,,,,,,0,,,,Matches
729,Claudio Echeverri,ar ARG,MF,Girona,es La Liga,20.0,2006,1.1,,1,,,,,,,,,,0,,,,Matches
730,Claudio Echeverri,ar ARG,MF,Leverkusen,de Bundesliga,20.0,2006,1.5,,1,,,,,,,,,,1,,,,Matches
731,Éderson,br BRA,MF,Atalanta,it Serie A,26.0,1999,17.6,,24,,,,,,,,,,19,,,,Matches
732,Noah Edjouma,fr FRA,FW,Toulouse,fr Ligue 1,20.0,2005,2.8,,3,,,,,,,,,,3,,,,Matches
733,Noah Edjouma,fr FRA,MF,Lille,fr Ligue 1,20.0,2005,0.7,,3,,,,,,,,,,0,,,,Matches
734,Andrias Edmundsson,fo FRO,DF,Hellas Verona,it Serie A,25.0,2000,2.0,,4,,,,,,,,,,3,,,,Matches
735,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,28.0,1998,0.0,,1,,,,,,,,,,0,,,,Matches
736,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,28.0,1998,12.5,,4,,,,,,,,,,1,,,,Matches
737,Alysson Edward,br BRA,MF,Aston Villa,eng Premier League,19.0,2006,0.2,,0,,,,,,,,,,0,,,,Matches
738,Marcus Edwards,eng ENG,"MF,FW",Burnley,eng Premier League,27.0,1998,8.7,,4,,,,,,,,,,2,,,,Matches
739,CJ Egan-Riley,eng ENG,"DF,MF",Marseille,fr Ligue 1,23.0,2003,5.4,,4,,,,,,,,,,2,,,,Matches
740,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,29.0,1996,22.0,,26,,,,,,,,,,23,,,,Matches
741,Kingsley Ehizibue,nl NED,"MF,DF",Udinese,it Serie A,30.0,1995,8.8,,14,,,,,,,,,,6,,,,Matches
742,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,28.0,1997,2.0,,2,,,,,,,,,,2,,,,Matches
743,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,es La Liga,28.0,1998,5.8,,8,,,,,,,,,,5,,,,Matches
744,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,27.0,1998,13.1,,13,,,,,,,,,,9,,,,Matches
745,Jeff Ekhator,it ITA,FW,Genoa,it Serie A,19.0,2006,5.6,,4,,,,,,,,,,1,,,,Matches
746,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23.0,2002,16.8,,6,,,,,,,,,,2,,,,Matches
747,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25.0,2000,16.1,,17,,,,,,,,,,10,,,,Matches
748,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22.0,2003,16.6,,25,,,,,,,,,,26,,,,Matches
749,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31.0,1994,6.7,,1,,,,,,,,,,3,,,,Matches
750,Anthony Elanga,se SWE,FW,Newcastle United,eng Premier League,23.0,2002,10.3,,8,,,,,,,,,,2,,,,Matches
751,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28.0,1997,11.3,,11,,,,,,,,,,16,,,,Matches
752,Unai Elgezabal,es ESP,"DF,MF",Levante,es La Liga,32.0,1993,10.6,,4,,,,,,,,,,4,,,,Matches
753,Mikael Ellertsson,is ISL,MF,Genoa,it Serie A,23.0,2002,19.4,,16,,,,,,,,,,11,,,,Matches
754,Harvey Elliott,eng ENG,"FW,MF",Liverpool,eng Premier League,22.0,2003,0.0,,0,,,,,,,,,,0,,,,Matches
755,Harvey Elliott,eng ENG,MF,Aston Villa,eng Premier League,22.0,2003,1.2,,0,,,,,,,,,,0,,,,Matches
756,Elif Elmas,mk MKD,MF,Napoli,it Serie A,26.0,1999,13.6,,9,,,,,,,,,,5,,,,Matches
757,Nesta Elphege,fr FRA,FW,Parma,it Serie A,25.0,2001,0.2,,0,,,,,,,,,,0,,,,Matches
758,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31.0,1994,3.7,,2,,,,,,,,,,5,,,,Matches
759,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29.0,1996,22.0,,25,,,,,,,,,,20,,,,Matches
760,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,29.0,1997,14.6,,10,,,,,,,,,,4,,,,Matches
761,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,23.0,2003,4.6,,0,,,,,,,,,,0,,,,Matches
762,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21.0,2004,11.1,,6,,,,,,,,,,5,,,,Matches
763,Julio Enciso,py PAR,MF,Strasbourg,fr Ligue 1,22.0,2004,11.6,,6,,,,,,,,,,3,,,,Matches
764,Wataru Endo,jp JPN,DF,Liverpool,eng Premier League,33.0,1993,1.9,,3,,,,,,,,,,0,,,,Matches
765,Endrick,br BRA,FW,Real Madrid,es La Liga,19.0,2006,0.1,,0,,,,,,,,,,0,,,,Matches
766,Endrick,br BRA,FW,Lyon,fr Ligue 1,19.0,2006,3.6,,3,,,,,,,,,,2,,,,Matches
767,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,25.0,2001,17.3,,18,,,,,,,,,,18,,,,Matches
768,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,34.0,1992,15.4,,12,,,,,,,,,,10,,,,Matches
769,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30.0,1995,23.0,,0,,,,,,,,,,0,,,,Matches
770,Carlos Espí,es ESP,FW,Levante,es La Liga,20.0,2005,2.5,,2,,,,,,,,,,0,,,,Matches
771,Alfonso Espino,uy URU,"DF,MF",Rayo Vallecano,es La Liga,34.0,1992,7.2,,12,,,,,,,,,,3,,,,Matches
772,Francesco Esposito,it ITA,FW,Inter,it Serie A,20.0,2005,9.4,,2,,,,,,,,,,4,,,,Matches
773,Sebastiano Esposito,it ITA,"FW,MF",Cagliari,it Serie A,23.0,2002,17.9,,21,,,,,,,,,,7,,,,Matches
774,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,20.0,2005,0.5,,1,,,,,,,,,,0,,,,Matches
775,Samuel Essende,cd COD,"MF,FW",Augsburg,de Bundesliga,28.0,1998,4.6,,2,,,,,,,,,,1,,,,Matches
776,Marco Esteban,es ESP,DF,Oviedo,es La Liga,20.0,2006,0.5,,0,,,,,,,,,,0,,,,Matches
777,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23.0,2002,21.9,,21,,,,,,,,,,28,,,,Matches
778,Tomás Esteves,pt POR,DF,Pisa,it Serie A,23.0,2002,0.2,,0,,,,,,,,,,0,,,,Matches
779,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,30.0,1995,9.6,,9,,,,,,,,,,4,,,,Matches
780,Pervis Estupiñán,ec ECU,MF,Milan,it Serie A,28.0,1998,7.5,,7,,,,,,,,,,8,,,,Matches
781,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,22.0,2003,2.8,,2,,,,,,,,,,0,,,,Matches
782,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22.0,2003,13.8,,11,,,,,,,,,,4,,,,Matches
783,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26.0,1999,20.2,,3,,,,,,,,,,2,,,,Matches
784,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29.0,1996,17.4,,18,,,,,,,,,,15,,,,Matches
785,Eberechi Eze,eng ENG,"MF,FW",Arsenal,eng Premier League,27.0,1998,11.6,,8,,,,,,,,,,7,,,,Matches
786,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27.0,1998,0.9,,1,,,,,,,,,,0,,,,Matches
787,Abde Ezzalzouli,ma MAR,"MF,FW",Real Betis,es La Liga,24.0,2001,12.7,,18,,,,,,,,,,10,,,,Matches
788,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,23.0,2003,7.8,,4,,,,,,,,,,5,,,,Matches
789,Giovanni Fabbian,it ITA,MF,Fiorentina,it Serie A,23.0,2003,1.2,,0,,,,,,,,,,1,,,,Matches
790,Alieu Fadera,gm GAM,FW,Sassuolo,it Serie A,24.0,2001,10.1,,19,,,,,,,,,,5,,,,Matches
791,Wout Faes,be BEL,DF,Monaco,fr Ligue 1,27.0,1998,2.3,,4,,,,,,,,,,3,,,,Matches
792,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,25.0,2001,18.1,,21,,,,,,,,,,11,,,,Matches
793,Romain Faivre,fr FRA,FW,Auxerre,fr Ligue 1,27.0,1998,1.8,,2,,,,,,,,,,1,,,,Matches
794,Omar Falah,es ESP,DF,Oviedo,es La Liga,22.0,2003,0.2,,0,,,,,,,,,,0,,,,Matches
795,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30.0,1995,24.0,,2,,,,,,,,,,0,,,,Matches
796,Ansu Fati,es ESP,MF,Monaco,fr Ligue 1,23.0,2002,6.2,,5,,,,,,,,,,1,,,,Matches
797,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21.0,2004,6.4,,8,,,,,,,,,,13,,,,Matches
798,Jacopo Fazzini,it ITA,"MF,FW",Fiorentina,it Serie A,22.0,2003,4.4,,5,,,,,,,,,,4,,,,Matches
799,Aleix Febas,es ESP,MF,Elche,es La Liga,30.0,1996,22.9,,26,,,,,,,,,,14,,,,Matches
800,Mattia Felici,it ITA,MF,Cagliari,it Serie A,24.0,2001,4.6,,6,,,,,,,,,,5,,,,Matches
801,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28.0,1997,3.2,,3,,,,,,,,,,4,,,,Matches
802,Robin Fellhauer,de GER,"MF,DF",Augsburg,de Bundesliga,28.0,1998,20.1,,35,,,,,,,,,,15,,,,Matches
803,Kiko Femenía,es ESP,"DF,MF",Getafe,es La Liga,35.0,1991,15.5,,19,,,,,,,,,,30,,,,Matches
804,Evan Ferguson,ie IRL,FW,Roma,it Serie A,21.0,2004,8.6,,4,,,,,,,,,,1,,,,Matches
805,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,26.0,1999,12.5,,12,,,,,,,,,,6,,,,Matches
806,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31.0,1994,22.0,,25,,,,,,,,,,12,,,,Matches
807,Mateus Fernandes,pt POR,MF,West Ham United,eng Premier League,21.0,2004,21.6,,44,,,,,,,,,,24,,,,Matches
808,Dro Fernández,es ESP,MF,Barcelona,es La Liga,18.0,2008,1.0,,0,,,,,,,,,,0,,,,Matches
809,Dro Fernández,es ESP,MF,Paris Saint-Germain,fr Ligue 1,18.0,2008,0.4,,0,,,,,,,,,,0,,,,Matches
810,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,25.0,2001,23.8,,22,,,,,,,,,,12,,,,Matches
811,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23.0,2002,6.7,,11,,,,,,,,,,9,,,,Matches
812,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24.0,2001,7.9,,9,,,,,,,,,,6,,,,Matches
813,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22.0,2003,0.5,,0,,,,,,,,,,0,,,,Matches
814,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,23.0,2002,19.2,,1,,,,,,,,,,4,,,,Matches
815,Thiago Fernández,ar ARG,MF,Oviedo,es La Liga,21.0,2004,0.7,,0,,,,,,,,,,0,,,,Matches
816,Toni Fernández,es ESP,FW,Barcelona,es La Liga,17.0,2008,0.5,,0,,,,,,,,,,0,,,,Matches
