Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
52,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19.0,2006,8.5,,7,,,,,,,,,,5,,,,Matches
53,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24.0,2001,5.2,,14,,,,,,,,,,9,,,,Matches
54,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27.0,1998,8.2,,4,,,,,,,,,,1,,,,Matches
55,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21.0,2004,0.0,,0,,,,,,,,,,0,,,,Matches
56,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27.0,1998,15.2,,19,,,,,,,,,,11,,,,Matches
57,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31.0,1994,20.3,,9,,,,,,,,,,7,,,,Matches
58,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30.0,1995,22.1,,19,,,,,,,,,,27,,,,Matches
59,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30.0,1995,5.5,,6,,,,,,,,,,4,,,,Matches
60,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,21.0,2004,2.1,,4,,,,,,,,,,0,,,,Matches
61,Ilias Akhomach,ma MAR,MF,Rayo Vallecano,es La Liga,21.0,2004,2.2,,5,,,,,,,,,,1,,,,Matches
62,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21.0,2004,10.4,,16,,,,,,,,,,14,,,,Matches
63,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23.0,2002,18.4,,20,,,,,,,,,,12,,,,Matches
64,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24.0,2001,18.7,,17,,,,,,,,,,20,,,,Matches
65,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33.0,1992,6.3,,18,,,,,,,,,,14,,,,Matches
66,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30.0,1995,0.5,,1,,,,,,,,,,1,,,,Matches
67,David Alaba,at AUT,DF,Real Madrid,es La Liga,33.0,1992,1.1,,1,,,,,,,,,,0,,,,Matches
68,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40.0,1985,4.1,,3,,,,,,,,,,5,,,,Matches
69,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,23.0,2002,7.5,,8,,,,,,,,,,2,,,,Matches
70,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,29.0,1996,21.2,,10,,,,,,,,,,25,,,,Matches
71,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27.0,1998,7.0,,1,,,,,,,,,,1,,,,Matches
72,Carles Aleñá,es ESP,MF,Alavés,es La Liga,28.0,1998,16.2,,22,,,,,,,,,,10,,,,Matches
73,Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,es La Liga,27.0,1998,5.2,,5,,,,,,,,,,9,,,,Matches
74,Alfon,es ESP,MF,Sevilla,es La Liga,26.0,1999,3.5,,0,,,,,,,,,,1,,,,Matches
75,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,22.0,2004,10.9,,4,,,,,,,,,,3,,,,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,33.0,1992,21.0,,0,,,,,,,,,,0,,,,Matches
77,Jim Allevinah,ga GAB,MF,Angers,fr Ligue 1,30.0,1995,1.5,,1,,,,,,,,,,0,,,,Matches
78,Max Alleyne,eng ENG,DF,Manchester City,eng Premier League,20.0,2005,1.5,,3,,,,,,,,,,3,,,,Matches
79,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24.0,2001,7.8,,10,,,,,,,,,,3,,,,Matches
80,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,25.0,2000,9.0,,6,,,,,,,,,,6,,,,Matches
81,Pontus Almqvist,se SWE,MF,Parma,it Serie A,26.0,1999,4.4,,6,,,,,,,,,,5,,,,Matches
82,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,35.0,1990,19.9,,17,,,,,,,,,,22,,,,Matches
83,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24.0,2001,0.1,,1,,,,,,,,,,0,,,,Matches
84,Sergi Altimira,es ESP,MF,Real Betis,es La Liga,24.0,2001,8.9,,22,,,,,,,,,,14,,,,Matches
85,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22.0,2003,18.1,,12,,,,,,,,,,11,,,,Matches
86,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22.0,2003,7.1,,6,,,,,,,,,,4,,,,Matches
87,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,26.0,2000,18.5,,9,,,,,,,,,,2,,,,Matches
88,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23.0,2002,0.4,,0,,,,,,,,,,1,,,,Matches
89,Ayoube Amaimouni Echghouyab,ma MAR,MF,Eintracht Frankfurt,de Bundesliga,21.0,2004,1.7,,0,,,,,,,,,,0,,,,Matches
90,Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,eng Premier League,21.0,2004,0.1,,0,,,,,,,,,,0,,,,Matches
91,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22.0,2003,0.4,,0,,,,,,,,,,0,,,,Matches
92,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,de Bundesliga,22.0,2003,6.7,,3,,,,,,,,,,10,,,,Matches
93,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,28.0,1998,20.8,,18,,,,,,,,,,8,,,,Matches
94,Mohamed Amine Sbai,fr FRA,MF,Angers,fr Ligue 1,25.0,2000,11.1,,6,,,,,,,,,,3,,,,Matches
95,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,30.0,1996,11.0,,13,,,,,,,,,,6,,,,Matches
96,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29.0,1996,17.3,,16,,,,,,,,,,14,,,,Matches
97,Samuel Amo-Ameyaw,eng ENG,"MF,DF",Strasbourg,fr Ligue 1,19.0,2006,6.0,,9,,,,,,,,,,3,,,,Matches
