0_level_0_Rk,1_level_0_Player,2_level_0_Nation,3_level_0_Pos,4_level_0_Squad,5_level_0_Comp,6_level_0_Age,7_level_0_Born,8_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,19_level_0_Matches
289,Matteo Bianchetti,it ITA,DF,Cremonese,it Serie A,32,1993.0,17.4,0,6,1,16.7,0.35,0.06,0.0,0.0,0,0,Matches
290,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,23,2003.0,10.6,2,19,7,36.8,1.79,0.66,0.11,0.29,0,0,Matches
291,Pedro Bigas,es ESP,DF,Elche,es La Liga,35,1990.0,15.7,0,7,1,14.3,0.45,0.06,0.0,0.0,0,0,Matches
292,Justin Bijlow,nl NED,GK,Genoa,it Serie A,28,1998.0,5.0,0,0,0,,0.0,0.0,,,0,0,Matches
293,Jaka Bijol,si SVN,DF,Leeds United,eng Premier League,27,1999.0,12.4,1,6,4,66.7,0.48,0.32,0.17,0.25,0,0,Matches
294,Cristiano Biraghi,it ITA,"MF,DF",Torino,it Serie A,33,1992.0,5.2,0,2,0,0.0,0.38,0.0,0.0,,0,0,Matches
295,Veljko Birmančević,rs SRB,"FW,MF",Getafe,es La Liga,27,1998.0,0.2,0,1,0,0.0,6.0,0.0,0.0,,0,0,Matches
296,Tom Bischof,de GER,"DF,MF",Bayern Munich,de Bundesliga,20,2005.0,9.1,0,19,2,10.5,2.09,0.22,0.0,0.0,0,0,Matches
297,Yves Bissouma,ml MLI,MF,Tottenham Hotspur,eng Premier League,29,1996.0,3.7,0,4,2,50.0,1.07,0.54,0.0,0.0,0,0,Matches
298,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,32,1993.0,2.5,0,2,0,0.0,0.79,0.0,0.0,,0,0,Matches
299,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,20,2005.0,1.5,0,0,0,,0.0,0.0,,,0,0,Matches
300,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34,1991.0,4.5,0,0,0,,0.0,0.0,,,0,0,Matches
301,Antonio Blanco,es ESP,MF,Alavés,es La Liga,25,2000.0,20.8,1,23,9,39.1,1.11,0.43,0.04,0.11,0,0,Matches
302,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,28,1997.0,9.6,3,27,9,33.3,2.82,0.94,0.04,0.11,2,2,Matches
303,Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,34,1991.0,5.3,0,0,0,,0.0,0.0,,,0,0,Matches
304,Daley Blind,nl NED,DF,Girona,es La Liga,35,1990.0,20.6,0,1,0,0.0,0.05,0.0,0.0,,0,0,Matches
305,Adam Boayar,ma MAR,MF,Elche,es La Liga,20,2005.0,1.2,1,5,2,40.0,4.33,1.73,0.2,0.5,0,0,Matches
306,Oscar Bobb,no NOR,"MF,FW",Manchester City,eng Premier League,22,2003.0,5.2,0,4,0,0.0,0.77,0.0,0.0,,0,0,Matches
307,Oscar Bobb,no NOR,"FW,MF",Fulham,eng Premier League,22,2003.0,0.8,0,1,0,0.0,1.22,0.0,0.0,,0,0,Matches
308,Ben Bobzien,de GER,FW,Mainz 05,de Bundesliga,22,2003.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
309,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27,1998.0,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
310,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,25,2000.0,5.1,0,6,0,0.0,1.17,0.0,0.0,,0,0,Matches
